StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
380,South Shore,4,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,2,6.5,4.5,5,545,219,206,85,14,1,3,78,18,0,7,100,3,69,8,1,0
381,South Shore,4,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,9,14,5.0,0,524,286,274,46,1,1,2,42,4,2,2,48,2,40,1,1,0
382,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,6.5,8.5,2.0,0,649,383,345,86,5,4,34,58,32,0,39,96,33,53,4,1,0
383,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,4,8.5,4.5,0,893,451,396,96,2,4,1,96,3,3,1,102,1,91,2,3,0
384,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,10.5,16.5,6.0,2,815,375,347,91,8,2,1,91,4,2,5,101,1,83,6,2,0
385,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,14.5,19.5,5.0,0,1149,500,480,67,0,1,36,66,1,1,36,68,36,65,0,1,0
386,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,8,11.5,3.5,4,869,422,325,84,10,2,7,78,9,5,11,96,7,72,5,1,0
387,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,5.5,13,7.5,2,788,377,312,101,0,1,0,98,0,4,0,102,0,98,0,0,0
388,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,8.5,15.5,7.0,0,1550,546,500,101,0,0,2,89,11,1,2,103,0,89,0,0,0
389,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,9.5,14.75,5.25,2,891,395,389,91,3,2,7,88,7,1,7,98,5,85,2,1,0
